title,price,location,link
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1332491117971656/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Women fashion boots,"ETB3,000","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1398901171293091/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB2,800","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/629739296607998/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1389332938927958/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Boots,"ETB3,400","Addis Ababa, Ethiopia",https://www.facebook.com/marketplace/item/1440224536960671/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
